user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
1015,ES2008c,62.55,A,Lovely to see you all again.,POSITIVE,9,Being positive,This response makes other participants feel welcome and at ease.,2021-04-02 11:42:13.293558+00:00
1015,ES2008c,165.92,B,Um I'm very excited by this one actually guys I uh had a lot of fun doing it.,POSITIVE,9,Being positive,This response shows emotional honesty and will encourage others to share their true feelings about their tasks.,2021-04-02 11:44:03.821619+00:00
1015,ES2008c,142.36,B,Alright.,POSITIVE,2,Being agreeable,Agreeing to the proposed agenda and order helps allow the meeting to run smoothly.,2021-04-02 11:45:01.403878+00:00
1015,ES2008c,501.28,A,"Thank you, perfect.",POSITIVE,15,Being respectful,This response shows appreciation for the speaker's efforts. It's a small thing that has a big impact.,2021-04-02 11:48:11.189654+00:00
1015,ES2008c,928.65,B,'Kay.,POSITIVE,1,Being agreeable,This response shows openness to the speaker's suggestions and a willingness to be problem-solve.,2021-04-02 11:50:33.211476+00:00
9,ES2008c,62.55,A,Lovely to see you all again.,POSITIVE,9,Being positive,Telling group members that the person enjoys getting to see them and interact with them.,2021-04-02 11:51:19.449063+00:00
9,ES2008c,79.75,A,"our agenda, we're gonna do an opening, I'm gonna review the minutes of the last meeting, then we'll have your three presentations um and then we'll have to make a decision on the remote control concepts, and finally we'll close.",POSITIVE,2,Being respectful,Demonstrating leadership and is reviewing the previous meeting details to keep everyone on track.,2021-04-02 11:52:15.418015+00:00
9,ES2008c,165.92,B,Um I'm very excited by this one actually guys I uh had a lot of fun doing it.,POSITIVE,9,Being positive,Just being positive really. Always nice when someone is excited by their work and enjoys doing it.,2021-04-02 11:53:18.203709+00:00
9,ES2008c,416.85,D,Is double-curved like would be like two hands kind of thing?,POSITIVE,1,Being respectful,Contributing to the conversation and asking clarifying questions to show that they are tuned in.,2021-04-02 11:54:04.066578+00:00
9,ES2008c,455.06,A,Just an interesting marketing kind of element.,POSITIVE,3,Being agreeable,Complimenting idea and other group members input. Good way to build group rapport.,2021-04-02 11:54:41.655719+00:00
