user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
183,ES2007d,135.69,A,That certainly does.,POSITIVE,2,Being agreeable,Responding in an agreeable way like this encourages the speaker to continue speaking. Being agreeable contributes to the psychological safety of the discussion. Well done!,2021-03-29 15:48:22.263111+00:00
183,ES2007d,161.3,D,Oh it's so cute.,POSITIVE,2,Being positive,Statements of encouragement such as yours helps to keep the psychological safety of the group discussion at a high level. Very well done!,2021-03-29 15:49:58.196100+00:00
183,ES2007d,178.75,C,"Ah, that's good thinking, yeah.",POSITIVE,1,Being positive,"Statements which compliment the speakers in the discussion is a great way to offer encouragement, which increases the psychological safety of the meeting. Good for you. Keep staying positive!",2021-03-29 15:51:35.613192+00:00
183,ES2007d,248.22,A,"But um other than that, I mean uh and that's um, you know, that's just something, I think I think it's great, yeah, great idea.",POSITIVE,3,Being agreeable,"Praising the ideas of each other very much increases the psychological safety of the group discussion. Great job, keep it up!",2021-03-29 15:55:47.405884+00:00
183,ES2007d,294.08,A,Well done.,POSITIVE,5,Being positive,Compliments such as these when directed to each other in a group meeting are a great way to raise the psychological safety of a meeting.  Nice work!,2021-03-29 15:57:22.363984+00:00
183,ES2007d,444.47,A,this is all very very good.,POSITIVE,12,Being positive,"Statements like these motivate each other to continue sharing ideas in the meeting, and that increases the psychological safety of the meeting.",2021-03-29 15:59:43.390158+00:00
4,ES2007d,22.06,C,"Actually that makes sense, because I remember like, peopl I dunno if my Mom ever did it but I remember other people's Moms making like home-made Play-Doh where you just like make the",POSITIVE,4,Being positive,Telling a personal story and agreeing with the topic and the discussion going on.,2021-03-29 16:24:07.133687+00:00
72,ES2007d,21.2,D,"Well, normal babies.",NEGATIVE,2,Causing annoyance,"I feel it is suggesting that only normal babies will be behaving such way, I am unsure if it is demeaning other children, as a parent I may be over analyzing the ""normal"" word used while explaining babies.",2021-03-29 16:40:43.010924+00:00
772,ES2007d,5.15,A,Did you know that?,POSITIVE,2,Being agreeable,Asking another participant a question shows you are interested in what they have to say.,2021-03-29 18:09:31.674644+00:00
772,ES2007d,8.85,B,I used to eat it.,POSITIVE,2,Being agreeable,"You are identifying with others and it makes you seem more approachable,",2021-03-29 18:10:17.211086+00:00
772,ES2007d,8.91,C,"I've, I've definitely eaten it before.",POSITIVE,1,Being agreeable,"You are identifying with others and it makes you seem more approachable,",2021-03-29 18:10:30.250148+00:00
772,ES2007d,22.06,C,"Actually that makes sense, because I remember like, peopl I dunno if my Mom ever did it but I remember other people's Moms making like home-made Play-Doh where you just like make the",POSITIVE,4,Being agreeable,Telling a story about yourself makes you seem relatable and open to sharing with other participants.,2021-03-29 18:11:39.983238+00:00
772,ES2007d,45.79,A,Everybody everybody ready?,POSITIVE,5,Being respectful,It is respectful to others to ask if they are all ready.,2021-03-29 18:12:29.994549+00:00
772,ES2007d,163.536,B,<sound: laugh>,POSITIVE,1,Being positive,Laughing here shows your are involved in the conversation and are agreeable.,2021-03-29 18:13:52.171810+00:00
654,ES2007d,4.12,A,Play-Doh's edible.,POSITIVE,1,Being positive,Sharing fun facts like this helps people stay interested and engaged.,2021-03-29 18:50:07.357287+00:00
654,ES2007d,8.85,B,I used to eat it.,POSITIVE,2,Being jovial,Making jokes like this helps boost morale and keep people happy.,2021-03-29 18:50:27.270607+00:00
654,ES2007d,55.09,C,"Yeah, it's pretty exciting.",POSITIVE,3,Being positive,Saying their presentation is exciting helps ease the tension for both the presenter and those watching it.,2021-03-29 18:51:28.535458+00:00
654,ES2007d,87.92,D,That is cool.,POSITIVE,3,Being positive,Saying someone else's idea is cool is a way to make people feel better about sharing their opinions.,2021-03-29 18:51:58.646510+00:00
654,ES2007d,135.69,A,That certainly does.,POSITIVE,2,Being agreeable,Being agreeable makes the person being agreed with more likely to continue sharing their thoughts which is good for the group as a whole.,2021-03-29 18:52:39.085877+00:00
429,ES2007d,21.2,D,"Well, normal babies.",NEGATIVE,2,Causing embarrassment,It suggests that kids who eat Play-doh are abnormal and one member has already said she did as a kid,2021-03-29 19:24:12.318310+00:00
