user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
958,ES2009b,14.94,A,And then I'm gonna turn over to you guys to make brief presentations um on what you've found and then we'll have a bit of discussion.,POSITIVE,3,Being respectful,Making sure that the meeting has an opportunity for everyone to present and share,2021-04-08 12:18:25.043502+00:00
958,ES2009b,49.53,A,"I'm not sure what teletext is but I'm assuming you guys do, so we don't wanna include that um in this particular design.",NEGATIVE,1,Being passive-aggressive,Kind of lazy to not know what something and just pass on the responsibility to everyone else,2021-04-08 12:18:58.334026+00:00
958,ES2009b,114.6,A,Brilliant.,POSITIVE,7,Being positive,Being positive and encouraging the next presenter as they begin,2021-04-08 12:19:25.789854+00:00
958,ES2009b,115.55,D,For your first PowerPoint it's lovely.,NEGATIVE,3,Being passive-aggressive,"Mentioning that it's good for their ""first powerpoint"" implies it's not actually that good and is really belittling",2021-04-08 12:19:53.121734+00:00
958,ES2009b,126.82,B,This is all pretty basic stuff you guys.,NEGATIVE,5,Dismissing others,Implying that it's simple and everyone should already know it makes people unlikely to voice confusion or questions,2021-04-08 12:20:20.671915+00:00
772,ES2009b,2.57,A,All set?,POSITIVE,2,Being respectful,It is polite to ask other participants if they are prepared to proceed.,2021-04-08 13:40:14.034132+00:00
772,ES2009b,5.81,A,So um basically I'm just gonna go over real quickly um some news I've just got from the board on how we're supposed to do with this um,POSITIVE,1,Being respectful,It is polite to let participants know how you are planning to proceed.,2021-04-08 13:40:45.572490+00:00
772,ES2009b,14.94,A,And then I'm gonna turn over to you guys to make brief presentations um on what you've found and then we'll have a bit of discussion.,POSITIVE,3,Being respectful,It is polite to let others know how you are planning to proceed and to let them know you are counting on their input.,2021-04-08 13:41:19.184362+00:00
772,ES2009b,28.18,A,"So no we're not doing D_V_D_, we're not doing anything else, it's just gonna be a television remote.",POSITIVE,1,Being respectful,Saying we here reinforces that you see the group as a team and everyone is important.,2021-04-08 13:41:57.187837+00:00
772,ES2009b,39.98,A,"And it has to have the slogan, case you guys forget the slogan it's, we put fashion in electronics.",NEGATIVE,4,Causing annoyance,The group could be annoyed to think you think they forgetful or unprepared.,2021-04-08 13:42:47.636575+00:00
1356,ES2009b,114.6,A,Brilliant.,POSITIVE,7,Being positive,A gave B a compliment to let B know that B had done a good job on the powerpoint.,2021-04-08 17:30:11.694730+00:00
1356,ES2009b,114.62,D,Very nice.,POSITIVE,4,Being positive,D gave B a compliment which lets B know they did a good job on their powerpoint.,2021-04-08 17:30:50.052264+00:00
1356,ES2009b,115.55,D,For your first PowerPoint it's lovely.,NEGATIVE,3,Causing embarrassment,D is  implying that B's powerpoint has some issues to it that a more experienced team member wouldn't have made. The criticism was unsolicited and may have made B feel embarassed or that the Powerpoint was lacking. D gave this criticism with others present in the group chat which may have cause B further embarassment.,2021-04-08 17:35:36.332160+00:00
1356,ES2009b,178.76,B,"Um too much metal is used sometimes and people pick up radio signals and the like, and there's also the possibility of the remote catching on fire and injuring the customer, just think of those lawsuits, that'd be really bad.",POSITIVE,1,Being positive,B used humor to make the group members laugh and lighten the mood of the meeting.,2021-04-08 17:36:46.887844+00:00
1356,ES2009b,222.9,B,"Um, the sender well I'm thinking infrared 'cause it is the industry standard, multi channel, that's a word I made up, I don't really know what it means.",NEGATIVE,3,Causing annoyance,"B didn't know the meaning of a word that they likely should have, they tried to downplay it with humor but this causes A to be annoyed with them.",2021-04-08 17:39:29.467639+00:00
540,ES2009b,37.792,B,<sound: laugh>,NEGATIVE,2,Causing embarrassment,This laughter seems out of context with what is being said which may cause another person to feel embarrassed while they are speaking.,2021-04-08 17:47:19.648984+00:00
540,ES2009b,114.6,A,Brilliant.,POSITIVE,7,Being positive,Offering praise and confirmation signals to another person they are being heard and validated for their contributions which is helpful.,2021-04-08 17:48:39.415352+00:00
540,ES2009b,114.62,D,Very nice.,POSITIVE,4,Being positive,A compliment can go a long way to letting someone else on a team know they are appreciated for speaking up and sharing their ideas.,2021-04-08 17:49:07.926890+00:00
540,ES2009b,115.55,D,For your first PowerPoint it's lovely.,POSITIVE,3,Being respectful,This comment highlights the effort and time given by another member of the team which may encourage them to feel positive and share more as a result.,2021-04-08 17:50:12.421945+00:00
540,ES2009b,126.82,B,This is all pretty basic stuff you guys.,NEGATIVE,5,Dismissing others,"By suggesting the topic is very basic, it undermines other people who may not readily understand it as well which may discourage them from sharing in the future.",2021-04-08 17:50:52.696729+00:00
540,ES2009b,178.76,B,"Um too much metal is used sometimes and people pick up radio signals and the like, and there's also the possibility of the remote catching on fire and injuring the customer, just think of those lawsuits, that'd be really bad.",NEGATIVE,1,Being sarcastic,This comment doesn't seem particularly productive as it seems to be using sarcasm which detracts from the purpose of the discussion with the team even if humor can sometimes raise morale of a team.,2021-04-08 17:51:50.487812+00:00
540,ES2009b,279.17,B,Yeah that shouldn't be a problem.,POSITIVE,2,Being agreeable,"When a question is posed, providing confirmation and using a positive tone can help facilitate better group interactions so this is a helpful response to the discussion.",2021-04-08 17:53:35.905556+00:00
540,ES2009b,291.83,A,Thank you very much Nathan.,POSITIVE,11,Being respectful,People really benefit from being given thanks or shown gratitude for their time and efforts which reinforces them to share and be respectful with future interactions on the team.,2021-04-08 17:54:25.551116+00:00
