user_id,dataset,timestamp,speaker,line,direction,agree_cnt,reason,possible_comment,created_at
874,ES2008a,32.79,A,Good morning everybody.,POSITIVE,3,Being respectful,A respectful greeting sets the tone for a smooth conversation.,2021-04-02 10:09:00.039549+00:00
874,ES2008a,101.16,A,"Okay, we're gonna get to know each other a little bit.",POSITIVE,1,Being positive,This is an ice breaker so that the participants know a little bit about one another before moving on to their delegated tasks.,2021-04-02 10:10:33.489176+00:00
874,ES2008a,217.04,A,Excellent.,POSITIVE,3,Being positive,This gesture of reinforcement sets a positive tone and let’s the speaker know they are supported.,2021-04-02 10:11:57.241102+00:00
874,ES2008a,418.09,D,That's impressive.,POSITIVE,3,Being positive,This comment of praise would certainly reinforce psychological safety.,2021-04-02 10:13:11.048851+00:00
874,ES2008a,810.4,A,It's a good question.,POSITIVE,6,Being positive,This comment is a form of praise and agreement.,2021-04-02 10:14:46.481902+00:00
772,ES2008a,33.86,A,Um I'm glad you could all come.,POSITIVE,2,Being positive,"It is nice to say you are happy every came, it shows you are welcoming to others.",2021-04-02 12:53:59.215931+00:00
772,ES2008a,35.36,A,I'm really excited to start this team.,POSITIVE,8,Being positive,Expressing excitement for the team lets others know you are glad they are there.,2021-04-02 12:54:59.964184+00:00
772,ES2008a,37.49,A,"Um I'm just gonna have a little PowerPoint presentation for us, for our kick-off meeting.",POSITIVE,1,being inclusive,Using the words us and our lets others know you think of the group as a team.,2021-04-02 12:55:48.735728+00:00
772,ES2008a,46.13,A,"Um our agenda today is we are gonna do a little opening and then I'm gonna talk a little bit about the project, then we'll move into acquaintance such as getting to know each other a little bit, including a tool training exercise.",POSITIVE,3,Being respectful,It shows respect for others to let them know the agenda and plan for the meeting.,2021-04-02 12:56:37.244367+00:00
772,ES2008a,72.86,A,I'm hoping that we can all work together to achieve all three of those.,POSITIVE,3,being inclusive,Stating you want to work together lets others know you value their contribution.,2021-04-02 12:58:48.377579+00:00
975,ES2008a,35.36,A,I'm really excited to start this team.,POSITIVE,8,Being positive,This person is starting the meeting in an upbeat and encouraging way.,2021-04-02 13:01:49.801174+00:00
975,ES2008a,165.21,B,I will draw a little turtle for you all.,POSITIVE,1,Being agreeable,"This person has been asked to draw a picture, which is probably out of her comfort zone, but she's doing it in a cheerful way.",2021-04-02 13:03:31.848113+00:00
975,ES2008a,281.21,D,"Oh my god, it's better than what I'm gonna be able to do.",POSITIVE,4,Being agreeable,This person is using self-depricating humor to make the other person feel good about what they drew.,2021-04-02 13:05:23.257924+00:00
975,ES2008a,366.07,D,Not gonna try and pretend like I can get any better than that.,POSITIVE,1,Being agreeable,Self depricating humor; making others feel comfortable by being willing to make fun of themselves.,2021-04-02 13:13:39.440136+00:00
975,ES2008a,490.42,A,"Okay um, just to generate a little bit of discussion about the project um, I could I'd like to hear about your experiences using ro remote controls, um your first ideas about um creating a new r remote control, what would be the best um like you what are the features that you really like what are the features that you don't like, etcetera, so",POSITIVE,7,Being respectful,"Opening up the floor for discussion; offering topic ideas, showing they value others' input.",2021-04-02 13:14:58.619936+00:00
1042,ES2008a,56.46,A,"And then we'll move into the project plan, do a little discussion and close, since we only have twenty five minutes.",NEGATIVE,1,She's stating up front that discussion is limited.  This can quell someone from speaking up.,Saying that there is limited time could stifle some potential remarks.,2021-04-02 13:31:19.703497+00:00
1042,ES2008a,109.8,A,"Um Alima, sorry, Alima.",NEGATIVE,2,Dismissing others,"I know people forget names all the time, but it is embarrassing to be called by the wrong name.",2021-04-02 13:33:13.259384+00:00
1042,ES2008a,72.86,A,I'm hoping that we can all work together to achieve all three of those.,NEGATIVE,1,Being passive-aggressive,"""hoping we can work together"" doesn't project confidence.",2021-04-02 13:34:48.394163+00:00
1042,ES2008a,35.36,A,I'm really excited to start this team.,POSITIVE,8,Being positive,A leader should express enthusiasm as much as possible.,2021-04-02 13:35:52.971092+00:00
1042,ES2008a,33.86,A,Um I'm glad you could all come.,POSITIVE,2,Being positive,"This functions as a thank you statement,  gratitude is important for a leader.",2021-04-02 13:36:35.426406+00:00
9,ES2008a,35.36,A,I'm really excited to start this team.,POSITIVE,8,Being positive,Very positive in the beginning of the meeting on being able to meet with this group specifically.,2021-04-02 14:28:17.314743+00:00
9,ES2008a,46.13,A,"Um our agenda today is we are gonna do a little opening and then I'm gonna talk a little bit about the project, then we'll move into acquaintance such as getting to know each other a little bit, including a tool training exercise.",POSITIVE,3,demonstrating leadership,Doing a good job leading the meeting and introducing what will be happening to the group members.,2021-04-02 14:28:50.711764+00:00
9,ES2008a,117.18,A,"Um introduce yourself, um say one thing about yourself and then draw your favourite animal and tell us about it.",POSITIVE,2,Being respectful,Giving everyone a chance to give information about themselves and speak in front of group.,2021-04-02 14:29:44.685772+00:00
9,ES2008a,201.07,B,"It's quite cool carry your home around where you go, um quite decorative little animals, they can swim, they can, they're very adaptable, they carry everything they need with them, um and they're easy to draw.",POSITIVE,1,Being positive,Being humorous while also going along with the activity as asked.,2021-04-02 14:30:53.781716+00:00
